name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
El Beso,Las Yeguas Del Apocalipsis,Sudor Marika,8/11/2017,73665,20,0.658,0.0604,0.658,0.166,0,0.359,-15.821,0.948,92.559
Seivi,Seivi,Kumbia Queers,28/6/2020,239710,25,0.709,0.0513,0.709,0.898,0.00000257,0.101,-4.669,0.045,95.016
Cómo Te Lo Explico,Cómo Te Lo Explico,Chocolate Remix,25/9/2020,201504,22,0.784,0.0669,0.784,0.865,0.00000399,0.0991,-6.028,0.0817,95.969
Pe U Te O,Re Fuerte,La Queen,29/11/2019,194279,16,0.881,0.183,0.881,0.545,0.000182,0.103,-8.729,0.164,118.001
Tuya,Bailemos Juntas,Ibiza Pareo,11/5/2018,270123,27,0.618,0.0194,0.618,0.68,0.0091,0.0725,-9.631,0.0379,120.009
Veni a Sudar,Las Yeguas Del Apocalipsis,Sudor Marika,8/11/2017,185552,28,0.559,0.434,0.559,0.662,0,0.0907,-6.215,0.0506,93.192
Ponte Perra,111,Pabllo Vittar,24/3/2020,133373,43,0.733,0.0691,0.733,0.662,0.0000205,0.0902,-6.705,0.242,175.853
La Dealer,ReBeba MiXXXtape,SASHA SATHYA,7/3/2019,152132,20,0.782,0.0257,0.782,0.479,0.0903,0.0991,-8.071,0.0827,169.915
Isla,Mar,Leo García,1/1/2001,175560,34,0.751,0.106,0.751,0.782,0.0000212,0.417,-5.709,0.0294,140.001
LIBRE DE MI,TODA,BIFE,23/4/2016,222140,32,0.506,0.76,0.506,0.511,0.0000306,0.122,-10.26,0.0342,88.915
Tebas,Lechiguanas,Dani Umpi,10/11/2017,235946,24,0.662,0.0424,0.662,0.868,0.0000398,0.0992,-5.442,0.0705,121.994
A quién le importa,No Es Pecado -Remasters,Alaska Y Dinarama,1986,205306,61,0.568,0.008,0.568,0.849,0.000343,0.145,-10.472,0.0338,130.746
Espada,Otra Era,Javiera Mena,28/10/2014,254125,47,0.658,0.00184,0.658,0.916,0.000912,0.369,-4.304,0.027,127.008
Fuego,Marea Negra,Tranki Punki,14/2/2020,212082,12,0.582,0.00336,0.582,0.768,0.000865,0.158,-6.553,0.0454,154.96
IR,IR,Rubio,16/1/2020,272513,40,0.749,0.381,0.749,0.674,0.816,0.114,-7.008,0.0645,99.996
La Revolución Sexual,La Revolución Sexual (Special Reissue),La Casa Azul,25/11/2016,274160,56,0.686,0.00254,0.686,0.877,0.000977,0.0791,-5.201,0.0373,117.01
Imparable,Imparable,PAZ,28/2/2020,181714,11,0.812,0.012,0.812,0.82,0.00338,0.3,-4.144,0.0903,104.959
Sólo Vine a Bailar,La Mar,Mariana Montenegro,6/3/2020,249337,15,0.71,0.00527,0.71,0.815,0.0523,0.233,-4.475,0.0441,119.989
Esta Electricidad (Es Real),Esta Electricidad (Es Real),Camila Moreno,19/6/2020,232185,46,0.535,0.256,0.535,0.737,0,0.123,-5.881,0.274,79.478
Pri?ncipe Verde,Palomas,Pulpa Negra,13/9/2019,240000,12,0.803,0.118,0.803,0.852,0,0.638,-5.614,0.292,127.967
Siempre Es Viernes en Mi Corazón,Amiga,Alex Anwandter,8/4/2016,218933,49,0.749,0.123,0.749,0.6,0.021,0.0727,-5.52,0.0327,126.005
Hola,Hola,Flor Linyera,23/1/2020,182662,33,0.577,0.101,0.577,0.723,0,0.125,-5.638,0.17,192.052
Perrear Llorando,"Terrible, Perriemos",Sailorfag,17/6/2019,155520,19,0.784,0.193,0.784,0.924,0.0696,0.531,-6.034,0.0566,125.024
KLK,KLK,Arca,22/6/2020,227401,41,0.798,0.064,0.798,0.873,0.0000517,0.764,-6.732,0.0908,98.017
Por Las Noches,Por Las Noches,De Lein,7/10/2018,241708,29,0.76,0.00958,0.76,0.823,0.314,0.106,-6.204,0.0517,136.001
Mente Podrida,Jugo Felino,Hija de Tigre,1/11/2019,209920,8,0.64,0.075,0.64,0.608,0.0000986,0.273,-10.161,0.0533,110.01
Mecha y Fuego,Mecha y Fuego,Son Pololos,15/1/2020,160595,10,0.712,0.0377,0.712,0.804,0.00000524,0.0993,-7.094,0.147,95.995
Hola Ey!,Psicoguiso,Alto Guiso,10/4/2018,228232,5,0.776,0.374,0.776,0.822,0.00313,0.374,-8.133,0.254,120.049
Ven Dimelo (Love is Love),Ven Dimelo (Love is Love),Dani Ride,25/9/2020,208533,47,0.594,0.113,0.594,0.662,0.00000656,0.107,-6.985,0.0477,105.011
La Deseante,La Deseante,Tita Print,7/8/2020,166714,13,0.754,0.0169,0.754,0.867,0,0.35,-3.989,0.0538,98.016
Flama,Flama,La Chica de Fuego,2/3/2020,161632,9,0.798,0.165,0.798,0.764,0,0.0921,-3.702,0.0459,98.026
"Soy Lo Que Soy (Tema de la Comedia Musical ""La Cage Aux Folles"")",Soy Lo Que Soy,Sandra Mihanovich,19/8/1984,251053,28,0.575,0.329,0.575,0.567,0.0000559,0.171,-6.647,0.0613,132.559
Amor Libre,Amor Libre,Esteman,14/2/2019,191680,42,0.787,0.0578,0.787,0.697,0.00000273,0.0859,-6.76,0.0541,98.028
Más,Más Música + Alma + Sexo,Ricky Martin,15/11/2011,248693,51,0.681,0.0162,0.681,0.842,0,0.0817,-6.152,0.0547,123.949
Caemos del Cielo,Caemos del Cielo,Ruda María,17/4/2020,196800,11,0.712,0.429,0.712,0.525,0.0009,0.101,-9.63,0.164,99.904
Dragaza Queen,Dragaza Queen,Ciruela Split,6/12/2019,141533,7,0.778,0.195,0.778,0.574,0.00902,0.117,-9.76,0.136,134.976
Micromania (Original Mix),Fotonovela Y Otras Historias,Tata Golosa,2/4/2009,316186,30,0.85,0.00505,0.85,0.739,0.0147,0.0488,-8.954,0.0652,130.007
Mocatriz,Mocatriz,Ojete Calor,8/2/2019,237228,42,0.738,0.00177,0.738,0.879,0.000293,0.133,-4.984,0.0409,136.97
Travesti Cubano,Domund,Putilatex,1/7/2008,211626,19,0.665,0.000873,0.665,0.961,0,0.295,-3.778,0.113,136.933
Gente De Mierda,Corazón De Cerdo Con Ginseng Al Vapor,PUTOCHINOMARIC?N,20/4/2018,140666,39,0.726,0.0804,0.726,0.659,0.00000433,0.0988,-6.218,0.102,90.01
Yo Te Diré,El Templo del Pop,Miranda!,1/4/2008,206053,58,0.917,0.00472,0.917,0.98,0.0142,0.128,-4.087,0.0382,127.017
Eres Tan Travesti,100k Años de Luz,La Prohibida,9/6/2015,203266,34,0.649,0.00218,0.649,0.803,0.00000185,0.138,-5.282,0.0328,127.982
La Vida Online,La Vida Online,Torreblanca,25/4/2020,218869,28,0.765,0.237,0.765,0.835,0,0.0865,-4.134,0.0885,93.991
la luz(Fín),la luz(Fín),Kali Uchis,1/10/2020,179563,68,0.741,0.353,0.741,0.341,0.00411,0.0764,-11.376,0.138,165.97
Cerda Punk,Crudencia 2109,Negrah Liyah,1/1/2016,229651,18,0.739,0.00452,0.739,0.708,0,0.0828,-2.801,0.0765,176.06
Carísima,Carísima,La Queen,6/11/2020,211075,19,0.769,0.187,0.769,0.627,0.00092,0.1,-11.245,0.0924,120.01
Trampas,Chonga,Cachitas Now!,18/10/2019,164079,11,0.757,0.641,0.757,0.664,0.00049,0.0722,-6.612,0.0788,96.101
Supervaga,Si,Chico y Chica,1/6/2001,225799,14,0.695,0.0738,0.695,0.928,0.0000998,0.085,-5.778,0.0409,135.051
Barre con el Pelo (feat. Dj Blass),Bellaca del Año,Tomasa del Real,18/5/2018,198875,43,0.739,0.113,0.739,0.895,0.000557,0.0971,-5.499,0.0519,92.995
Macaulay Culkin,Estado del malestar,Ladilla Rusa,23/2/2018,166154,47,0.859,0.00418,0.859,0.893,0.000571,0.0831,-6.279,0.0532,153.978
Cosmic Address,Extrasolar,Frikstailers,26/4/2019,208097,24,0.78,0.449,0.78,0.843,0.755,0.109,-7.157,0.0468,100.994
Ella Se Llama Ana,Ella Se Llama Ana,Ali Gua Gua,29/4/2020,120361,15,0.861,0.348,0.861,0.427,0.000883,0.0924,-10.511,0.223,109.017
Sincronicidad,Sincronicidad,Felicia Morales,8/5/2020,174522,35,0.736,0.0836,0.736,0.518,0.00126,0.0957,-10.772,0.0355,114.976
Quizás,Transformera,Antuantu,17/5/2019,277366,7,0.608,0.0168,0.608,0.88,0.427,0.487,-6.193,0.0405,119.974
Brillo,Brillo,Niña Dioz,26/6/2020,170375,25,0.8,0.00358,0.8,0.851,0.0000053,0.0628,-4.315,0.168,110.069
Amiga Date Cuenta,Sailorfag,Sailorfag,29/6/2018,165600,24,0.796,0.0121,0.796,0.714,0.00053,0.103,-9.66,0.121,100.027
,,,,,28.44642857,0.721625,0.134410054,0.721625,0.736535714,0.066964692,0.173878571,-6.887642857,0.103841071,119.7373393
